terp1y2euvdy8rvtr989tyf0u9atttt8yxa73qmqlem 54192928689ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 68172282118upersyx, 5000000uterp 97253uterpx
terp1y2mzu78ldpz56a0w0fkr0pe8gur7qzpjmpyuvg 145455003019ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1yq24hhsnt2dhzuf2uj7gyqx24nf2g3u22sdymw 15601105000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp1yyds5g9fh46xkd40yy0e98hz5jn8q7m0znfz6r 13523830413ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B 41534695083upersyx, 9890100uterp 222833uterpx
terp1zvtaz8l9xysxr6cpcuswvqclzyjarfq9tqq8n4 59026300000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B
terp13w9zq85yuk8jud83h2qncrzlsfq9s48kyws33r 13737820000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000514ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 94267681093upersyx, 11189500uterp 91821uterpx
terp15wvgq0gg9vz77ymz6lzr38707td39mgsweud3p 3311111000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  420000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E
terp19fm339n2rw3qpvw0g429h0v8lkyr7erfz24hxc 115222801038ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  42998960990ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 28655414428upersyx, 9990000uterp 1361720uterpx
terp19u539q85fun7nax92w853gcqtl74kr0egvnyxq 9093985200ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2990000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 1213314707252upersyx, 10000000000uterp 888981189349uterpx
terp1etx55kw7tkmnjqz0k0mups4ewxlr324tjlur54 42478838972ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 57511106115upersyx, 100000000uterp 10544286uterpx
terp1f0mcq9xl0dvcuk2kr6z6ph7jx30lvjfrvmhr58 210305117395ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  1000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 82600763731upersyx, 1098998001uterp 327524024142uterpx
terp1msy6yyvdarw0uftvqzupgw9ug80hgaghl74fve 13546000000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 56042050410upersyx, 1436677uterp 28447uterpx
terp1rwyn6w46u3067enhpdceqasg2um8dddtt5ursa 63153263889ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2089766162ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 75747593841upersyx, 1000000uterp 28969173uterpx
terp1uc52al69sqxa76r5qea5yct9lwszng8zfnhnmc 41248225591ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2001001369ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 266090543692upersyx, 4420000uterp 10190864uterpx
terp1y64wre98vqyfldmg626x0g34hll7ksdh3lgpum 44520230000ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000000000ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 1090638952977upersyx, 996460883860uterp 145339197uterpx
terp1zhweh0qv72twxf3s22dpg23w9f2vzelmcum3au 27992425527ibc/8C1AF6C95980C3762E1ADFCA64F9C50C1A436FF482865FD7EE2F81ADF993340B  2000042517ibc/C1480733E861CF816540E7F7B2807AC44CD9E3DE39B4CD09A357254731538A7E 27847717233upersyx, 9990000uterp 1039683uterpx
terp18p96kyqjsa030a2jghaxv7jzcgzh7x7tzpvah3 20ibc/833AC65209BA8EDA03604FBE1BD34A07B378F02910D54B7CDA7225CAC68ADEDD 1907132uthiolx,1990076uterpx
